# Wavelength   Rlam
136.66933 46.94524
136.73025 46.94301
136.79120 46.94078
136.85217 46.93855
136.91317 46.93632
136.97420 46.93409
137.03525 46.93186
137.09634 46.92962
137.15745 46.92739
137.21858 46.92515
137.27975 46.92291
137.34094 46.92068
137.40215 46.91844
137.46340 46.91620
137.52467 46.91396
137.58597 46.91171
137.64730 46.90947
137.70866 46.90723
137.77004 46.90498
137.83145 46.90274
137.89289 46.90049
137.95435 46.89824
138.01584 46.89599
138.07736 46.89374
138.13891 46.89149
138.20048 46.88924
138.26208 46.88699
138.32371 46.88473
138.38537 46.88248
138.44705 46.88022
138.50876 46.87796
138.57050 46.87571
138.63227 46.87345
138.69406 46.87119
138.75588 46.86893
138.81773 46.86666
138.87961 46.86440
138.94151 46.86214
139.00345 46.85987
139.06541 46.85761
139.12739 46.85534
139.18941 46.85307
139.25145 46.85080
139.31352 46.84853
139.37562 46.84626
139.43774 46.84399
139.49990 46.84172
139.56208 46.83944
139.62428 46.83717
139.68652 46.83489
139.74878 46.83261
139.81108 46.83034
139.87340 46.82806
139.93574 46.82578
139.99812 46.82349
140.06052 46.82121
140.12295 46.81893
140.18541 46.81664
140.24790 46.81436
140.31041 46.81207
140.37295 46.80979
140.43552 46.80750
140.49812 46.80521
140.56074 46.80292
140.62340 46.80063
140.68608 46.79833
140.74879 46.79604
140.81153 46.79375
140.87429 46.79145
140.93709 46.78915
140.99991 46.78686
141.06276 46.78456
141.12563 46.78226
141.18854 46.77996
141.25147 46.77766
141.31443 46.77535
141.37742 46.77305
141.44044 46.77074
141.50349 46.76844
141.56656 46.76613
141.62966 46.76382
141.69279 46.76151
141.75595 46.75921
141.81914 46.75689
141.88235 46.75458
141.94559 46.75227
142.00886 46.74996
142.07216 46.74764
142.13549 46.74532
142.19885 46.74301
142.26223 46.74069
142.32564 46.73837
142.38908 46.73605
142.45255 46.73373
142.51605 46.73141
142.57957 46.72908
142.64313 46.72676
142.70671 46.72443
142.77032 46.72211
142.83396 46.71978
142.89762 46.71745
142.96132 46.71512
143.02504 46.71279
143.08879 46.71046
143.15257 46.70813
143.21638 46.70579
143.28022 46.70346
143.34409 46.70112
143.40798 46.69879
143.47190 46.69645
143.53585 46.69411
143.59983 46.69177
143.66384 46.68943
143.72788 46.68709
143.79194 46.68474
143.85604 46.68240
143.92016 46.68005
143.98431 46.67771
144.04849 46.67536
144.11270 46.67301
144.17694 46.67066
144.24120 46.66831
144.30550 46.66596
144.36982 46.66361
144.43417 46.66125
144.49855 46.65890
144.56296 46.65654
144.62740 46.65419
144.69186 46.65183
144.75636 46.64947
144.82088 46.64711
144.88543 46.64475
144.95001 46.64239
145.01462 46.64003
145.07926 46.63766
145.14393 46.63530
145.20863 46.63293
145.27335 46.63056
145.33811 46.62819
145.40289 46.62583
145.46770 46.62345
145.53254 46.62108
145.59741 46.61871
145.66231 46.61634
145.72724 46.61396
145.79220 46.61159
145.85718 46.60921
145.92220 46.60683
145.98724 46.60445
146.05231 46.60207
146.11741 46.59969
146.18254 46.59731
146.24770 46.59493
146.31289 46.59254
146.37811 46.59016
146.44335 46.58777
146.50863 46.58539
146.57393 46.58300
146.63927 46.58061
146.70463 46.57822
146.77002 46.57583
146.83545 46.57343
146.90090 46.57104
146.96638 46.56864
147.03188 46.56625
147.09742 46.56385
147.16299 46.56145
147.22859 46.55905
147.29421 46.55665
147.35987 46.55425
147.42555 46.55185
147.49126 46.54945
147.55701 46.54704
147.62278 46.54464
147.68858 46.54223
147.75441 46.53982
147.82027 46.53741
147.88616 46.53500
147.95208 46.53259
148.01803 46.53018
148.08401 46.52777
148.15001 46.52535
148.21605 46.52294
148.28211 46.52052
148.34821 46.51811
148.41433 46.51569
148.48049 46.51327
148.54667 46.51085
148.61289 46.50843
148.67913 46.50600
148.74540 46.50358
148.81170 46.50115
148.87803 46.49873
148.94439 46.49630
149.01078 46.49387
149.07721 46.49144
149.14365 46.48901
149.21013 46.48658
149.27664 46.48415
149.34318 46.48172
149.40975 46.47928
149.47635 46.47685
149.54298 46.47441
149.60963 46.47197
149.67632 46.46953
149.74304 46.46709
149.80978 46.46465
149.87656 46.46221
149.94337 46.45977
150.01020 46.45732
150.07707 46.45488
150.14396 46.45243
150.21089 46.44998
150.27784 46.44753
150.34483 46.44508
150.41184 46.44263
150.47889 46.44018
150.54596 46.43773
150.61306 46.43527
150.68020 46.43282
150.74736 46.43036
150.81456 46.42790
150.88178 46.42545
150.94904 46.42299
151.01632 46.42053
151.08363 46.41806
151.15098 46.41560
151.21835 46.41314
151.28576 46.41067
151.35319 46.40820
151.42065 46.40574
151.48815 46.40327
151.55567 46.40080
151.62323 46.39833
151.69081 46.39586
151.75843 46.39338
151.82607 46.39091
151.89375 46.38843
151.96145 46.38596
152.02919 46.38348
152.09695 46.38100
152.16475 46.37852
152.23257 46.37604
152.30043 46.37356
152.36832 46.37108
152.43623 46.36859
152.50418 46.36611
152.57216 46.36362
152.64016 46.36114
152.70820 46.35865
152.77627 46.35616
152.84437 46.35367
152.91250 46.35118
152.98066 46.34868
153.04885 46.34619
153.11707 46.34369
153.18532 46.34120
153.25360 46.33870
153.32191 46.33620
153.39025 46.33370
153.45862 46.33120
153.52703 46.32870
153.59546 46.32620
153.66392 46.32369
153.73242 46.32119
153.80094 46.31868
153.86950 46.31618
153.93808 46.31367
154.00670 46.31116
154.07535 46.30865
154.14402 46.30614
